,PSOE,,PP,,VOX,,PODEMOS-IU,,ERC-SOBIRANISTES,,Cs,,JxCAT-JUNTS,,ECP-GUANYEM EL CANVI,,EAJ-PNV,,EH Bildu,,MÁS PAÍS-EQUO,,CUP-PR,,PODEMOS-EU,,CCa-PNC-NC,,NA+,,MÉS COMPROMÍS,,BNG,,PRC,,¡TERUEL EXISTE!,,PACMA,,MÁS PAÍS,,RECORTES CERO-GV,,PUM+J,,M PAÍS-CHA-EQUO,,MÉS-ESQUERRA,,AxSÍ,,PCPE,,PCTE,,GBAI,,UPL,,PCOE,,CpM,,EB,,ERPV,,XAV,,AVANT ADELANTE LOS VERDES,,VERDES,,PH,,I.Fem,,UIG-SOM-CUIDES,,SOMOS REGIÓN,,IZQP,,AHORA CANARIAS,,CONTIGO,,CHA,,PPSO,,EXTREMADURA UNIDA,,PDSJE,,P-LIB,,MAS,,UNIDOS SÍ-ACPS-Def,,PREPAL,,ANDECHA,,MDyC,,PYLN,,FE de las JONS,,AUNACV,,UNIÓN REGIONALISTA,,Canda,,FIA,,SOLIDARIA,,RISA,,centrados,,DPL,,IZAR,,C 21,,UDT,
Palencia                      ,"31,847",1,"34,195",2,"13,816",0,"7,746",0,0,0,"5,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,256,0,209,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamanca                     ,"57,481",1,"67,715",2,"34,929",1,"13,608",0,0,0,"16,886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,306,0,266,0,0,0,0,0,0,0,0,0,196,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segovia                       ,"25,233",1,"28,057",1,"14,569",1,"7,901",0,0,0,"6,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,191,0,133,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0
Soria                         ,"16,043",1,"15,247",1,"6,264",0,"3,517",0,0,0,"2,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,95,0,95,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valladolid                    ,"94,384",2,"91,857",2,"56,353",1,"34,313",0,0,0,"26,947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,088",0,0,0,594,0,586,0,0,0,0,0,0,0,223,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamora                        ,"32,747",1,"33,495",1,"17,036",1,"7,001",0,0,0,"6,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,129,0,143,0,0,0,0,0,0,0,0,0,120,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona                     ,"638,319",8,"225,645",2,"184,715",2,0,0,"618,909",7,"174,124",2,"343,931",4,"452,482",5,0,0,0,0,0,0,"179,041",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,752",0,"41,826",0,"4,698",0,"1,577",0,0,0,0,0,0,0,"1,509",0,"1,587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,005",0,0,0,0,0,"1,178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girona                        ,"52,723",1,"17,449",0,"18,489",0,0,0,"91,932",2,"13,869",0,"88,060",2,"33,710",1,0,0,0,0,0,0,"31,703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,724",0,0,0,508,0,339,0,0,0,0,0,0,0,327,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lleida                        ,"29,983",1,"14,697",0,"9,312",0,0,0,"65,236",2,"7,128",0,"46,773",1,"16,337",0,0,0,0,0,0,0,"14,098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,521",0,0,0,183,0,169,0,0,0,0,0,0,0,129,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarragona                     ,"73,641",2,"29,923",0,"31,124",0,0,0,"98,782",2,"22,814",0,"51,461",1,"46,644",1,0,0,0,0,0,0,"22,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,588",0,0,0,533,0,351,0,0,0,0,0,0,0,180,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badajoz                       ,"142,312",3,"92,742",2,"64,016",1,"33,971",0,0,0,"29,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,400",0,0,0,674,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cáceres                       ,"85,135",2,"61,527",1,"35,807",1,"20,101",0,0,0,"15,533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,276",0,0,0,342,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Coruña                      ,"184,178",3,"187,127",3,"50,325",0,0,0,0,0,"28,469",0,0,0,0,0,0,0,0,0,"12,619",0,0,0,"77,069",1,0,0,0,0,0,0,"58,135",1,0,0,0,0,"4,572",0,0,0,925,0,607,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,"1,689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lugo                          ,"57,537",2,"68,530",2,"14,652",0,0,0,0,0,"5,811",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,548",0,0,0,0,0,0,0,"12,940",0,0,0,0,0,"1,190",0,0,0,237,0,221,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
Ourense                       ,"56,934",2,"67,580",2,"13,285",0,0,0,0,0,"6,397",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,573",0,0,0,0,0,0,0,"10,256",0,0,0,0,0,"1,094",0,0,0,221,0,307,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontevedra                    ,"166,377",3,"151,961",3,"38,119",0,0,0,0,0,"23,984",0,0,0,0,0,0,0,0,0,"10,207",0,0,0,"81,041",1,0,0,0,0,0,0,"39,125",0,0,0,0,0,"4,619",0,0,0,790,0,447,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madrid                        ,"957,401",10,"887,474",10,"653,476",7,"463,629",5,0,0,"323,076",3,0,0,0,0,0,0,0,0,"201,389",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,983",0,0,0,"5,129",0,"4,305",0,0,0,0,0,0,0,"2,099",0,"1,895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navarra                       ,"83,734",1,0,0,"19,440",0,"55,498",1,0,0,0,0,0,0,0,0,0,0,"56,548",1,0,0,0,0,0,0,0,0,"99,078",2,0,0,0,0,0,0,0,0,"2,250",0,0,0,965,0,928,0,0,0,0,0,0,0,0,0,381,0,"12,709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araba / Álava                 ,"37,488",1,"25,506",0,"6,421",0,"28,186",1,0,0,"2,526",0,0,0,0,0,"40,262",1,"27,453",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,152",0,0,0,409,0,326,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa                      ,"69,342",1,"23,619",0,"7,274",0,"57,363",1,0,0,"3,824",0,0,0,0,0,"116,761",2,"98,951",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,070",0,0,0,510,0,401,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia                       ,"120,566",2,"55,621",1,"15,284",0,"97,125",1,0,0,"6,929",0,0,0,0,0,"221,979",3,"94,669",1,"8,542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,783",0,0,0,753,0,494,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0
Murcia                        ,"177,154",3,"189,500",3,"199,829",3,"63,461",1,0,0,"53,201",0,0,0,0,0,0,0,0,0,"13,439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,005",0,0,0,881,0,431,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,328",0,434,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0
La Rioja                      ,"57,485",2,"56,450",2,"18,908",0,"16,273",0,0,0,"11,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,096",0,0,0,307,0,297,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicante / Alacant            ,"240,202",4,"207,310",3,"167,395",3,"108,533",1,0,0,"69,143",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,612",0,0,0,0,0,0,0,"9,417",0,0,0,891,0,948,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,683",0,0,0,"2,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castellón / Castelló          ,"84,078",2,"70,176",1,"54,849",1,"39,251",1,0,0,"20,302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,140",0,0,0,0,0,0,0,"2,483",0,0,0,257,0,370,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,379,0,0,0,0,0,"1,106",0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia / València           ,"375,879",4,"306,929",4,"245,890",3,"191,812",2,0,0,"106,820",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"122,535",1,0,0,0,0,0,0,"15,395",0,0,0,"1,540",0,"1,009",0,0,0,0,0,0,0,"1,142",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,086",0,0,0,"2,674",0,0,0,0,0,0,0,"2,339",0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,067",0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceuta                         ,"10,455",0,"7,439",0,"11,752",1,"1,300",0,0,0,"1,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melilla                       ,"5,087",0,"9,136",1,"5,692",0,809,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,955",0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,792,199",120,"5,047,040",89,"3,656,979",52,"2,381,960",26,"874,859",13,"1,650,318",10,"530,225",8,"549,173",7,"379,002",6,"277,621",5,"330,345",2,"246,971",2,"188,231",2,"124,289",2,"99,078",2,"176,287",1,"120,456",1,"68,830",1,"19,761",1,"228,856",0,"52,478",0,"35,042",0,"27,272",0,"23,196",0,"18,295",0,"14,046",0,"13,828",0,"13,029",0,"12,709",0,"10,243",0,"9,725",0,"8,955",0,"5,970",0,"5,875",0,"5,416",0,"5,416",0,"3,287",0,"3,150",0,"3,005",0,"2,339",0,"2,328",0,"2,325",0,"2,032",0,"2,015",0,"2,000",0,"1,466",0,"1,347",0,"1,259",0,"1,171",0,"1,068",0,"1,067",0,941,0,887,0,819,0,630,0,616,0,585,0,530,0,520,0,461,0,270,0,249,0,234,0,214,0,113,0,72,0,26,0